Jenis Kelamin,Umur Karyawan,Gaji,Status,Transportasi
Laki-Laki,20,8000000,Single,Kendaraan pribadi
Laki-Laki,35,14000000,Single,Kendaraan umum
Perempuan,26,10000000,Single,Kendaraan umum
Perempuan,27,12000000,Menikah,Kendaraan pribadi
Laki-Laki,21,9000000,Single,Kendaraan pribadi
Laki-Laki,22,11000000,Single,Kendaraan pribadi
Perempuan,32,15000000,Menikah,Kendaraan umum
Perempuan,26,8000000,Menikah,Kendaraan umum
Laki-Laki,25,9000000,Single,Kendaraan umum
Perempuan,20,10000000,Single,Kendaraan pribadi